Texto,Categoria
HIMNO APERTURA INICIO DE LAS TRANSMISIONES,historia
ESTOCADA AL TIEMPO Programa de efemérides,historia
PROGRAMACIÓN EDUCATIVA ARTISTICA  ORIENTACIONES PARA EL INGRESO A LA ENSEÑANZA ARTISTICA DANZA. ORIENTACIONES PARA EL INGRESO A LA ENSEÑANZA ARTISTICA DANZA.,educativo
PROGRAMACIÓN EDUCATIVA ARTISTICA  SOLFEO  8vo grado Nivel elemental    SOLFEO  8vo grado Nivel elemental,educativo
PROGRAMACIÓN ARTISTICA EDUCATIVA  RUTINA DE EJERCICIOS  RUTINA DE EJERCICIOS,educativo
PROGRAMACIÓN EDUCATIVA ARTISTICA  HISTORIA DEL TEATRO PARA TÌTERES. HISTORIA DEL TEATRO PARA TÌTERES.,educativo
PROGRAMACIÓN EDUCATIVA ARTISTICA  GRABADO  Nivel medio  GRABADO  Nivel medio,educativo
SÍGUENOS programa de ejercicios,deporte
SWING COMPLETO SERIE NACIONAL DE BEISBOL. ESTADISTICAS E INFORMACIONES  SERIE NACIONAL DE BEISBOL. ESTADISTICAS E INFORMACIONES,serie
JUDO INTERNACIONAL  MASTER JUDO DOHA QATAR  MASTER JUDO DOHA QATAR,deporte
DEPORCLIP  MUSICAL  MUSICAL,musical
MERIDIANO DEPORTIVO,deporte
VALE 3 NBA  NBA,deporte
BALONCESTO 3X 3  DEBRECEN,deporte
FUTBOL INTERNACIONAL LIGA ESPAÑOLA  Osasuna vs Sevilla  LIGA ESPAÑOLA Osasuna vs Sevilla,deporte
DOCUMENTAL  ENTRE LOS MEJORES DEL MUNDO  ENTRE LOS MEJORES DEL MUNDO,documental
NND NOTICIAS,noticias
ESTOCADA AL TIEMPO,historia
GLORIAS DEPORTIVAS DAYNELLIS MONTEJO (TAEKWONDO) DAYNELLIS MONTEJO (TAEKWONDO),deporte
SÍGUENOS programa de ejercicios,deporte
AL DURO Y SIN GUANTE PLAY OFF SERIE NACIONAL DE BÉISBOL  PLAY OFF SERIE NACIONAL DE BÉISBOL,serie
VOLEIBOL INTERNACIONAL  SEMIFINAL 2 DE LA COPA ITALIA  SEMIFINAL 2 DE LA COPA ITALIA,deporte
FUTBOL INTERNACIONAL  LIGA ESPAÑOLA  Osasuna vs Sevilla  LIGA ESPAÑOLA  Osasuna vs Sevilla,deporte
MERIDIANO DEPORTIVO RETRANSMISION  NOTICIAS,noticias
